%cpu %mem RES
0.0 19.6 3.0g
0.0 19.6 3.0g
123.8 19.6 3.0g
14.0 19.6 3.0g
33.9 19.6 3.0g
22.0 19.6 3.0g
299.8 19.6 3.0g
12.0 19.6 3.0g
273.4 19.6 3.0g
37.9 19.6 3.0g
14.0 19.6 3.0g
39.9 19.6 3.0g
14.0 19.6 3.0g
79.9 19.6 3.0g
287.5 19.6 3.0g
175.7 19.6 3.0g
67.8 19.6 3.0g
26.0 19.6 3.0g
0.0 19.6 3.0g
57.9 19.6 3.0g
133.9 19.6 3.0g
0.0 19.6 3.0g
37.9 19.6 3.0g
239.6 19.6 3.0g
0.0 19.6 3.0g
0.0 19.6 3.0g
0.0 19.6 3.0g
0.0 19.6 3.0g
0.0 19.6 3.0g
0.0 19.6 3.0g
0.0 19.6 3.0g
0.0 19.6 3.0g
0.0 19.6 3.0g
0.0 19.6 3.0g
0.0 19.6 3.0g
0.0 19.6 3.0g
0.0 19.6 3.0g
