%cpu %mem RES
0.0 8.8 2.7g
2.0 8.8 2.7g
0.0 8.8 2.7g
357.7 8.8 2.8g
303.4 8.8 2.8g
221.8 8.8 2.8g
311.6 8.8 2.8g
399.2 8.8 2.8g
393.2 8.8 2.8g
395.3 8.8 2.8g
355.7 8.8 2.8g
117.8 8.8 2.8g
349.4 8.8 2.8g
399.6 8.8 2.8g
293.4 8.8 2.8g
153.7 8.8 2.8g
10.0 8.8 2.8g
141.8 8.8 2.8g
308.0 8.8 2.8g
377.4 8.8 2.8g
321.5 8.8 2.8g
97.8 8.8 2.8g
349.3 8.8 2.8g
221.6 8.8 2.8g
16.0 8.8 2.8g
0.0 8.8 2.8g
0.0 8.8 2.8g
0.0 8.8 2.8g
0.0 8.8 2.8g
0.0 8.8 2.8g
0.0 8.8 2.8g
0.0 8.8 2.8g
0.0 8.8 2.8g
0.0 8.8 2.8g
2.0 8.8 2.8g
0.0 8.8 2.8g
2.0 8.8 2.8g
0.0 8.8 2.8g
